,DESCR,RAMEAU_concepts2
10,"La Destruction du temple, &quot;Oswald tire sur Kennedy. Jusque-là, c&apos;est bon, cette fois, mais ensuite tout recommence à aller de travers. C&apos;est bien simple, il n&apos;y a rien à faire avec ces gens-là. Cet imbécile de Kennedy a jugé bon de se mettre debout dans la limousine, ce coup-là, et il tombe pesamment sans aucune élégance... Oswald, inconscient du désastre et ne pensant, comme tous les autres, qu&apos;à sa propre prestation, balance allégrement son fusil du haut du dixième étage et disparaît de la fenêtre tandis que je me sauve ventre à terre.&quot; Reconstitution ? Film ? Jeu ? Et s&apos;il s&apos;agissait d&apos;une autre réalité dans laquelle, à chaque instant, Lee Harvey Oswald tire sur le président Kennedy ? ____",['029051428#Traductions_françaises']
11,"L'inflation, Qu’est-ce que l’inflation, La dévaluation de la monnaie ? La conséquence inévitable de l’exploitation et du gaspillage capitalistes ? Le résultat d’une mauvaise gestion des deniers publics ou de la poursuite du profit par les entreprises et les banques ? Curieusement ce phénomène, qui fait partie de notre vie quotidienne depuis de nombreuses années, demeure souvent mystérieux et donne lieu à des explications contradictoires (certains, tout en la condamnant, en profitent ou espèrent sa poursuite). A travers la description de quelques mécanismes fondamentaux et du rôle des différents acteurs économiques (entreprises, salariés, banques, gouvernement, etc.) cet ouvrage ne prétent pas expliquer définitivement l’inflation, mais permettre à chacun de la comprendre et de se situer par rapport à elle. ____",['027234835#Inflation']
12,"La rurbanisation ou la ville éparpillée, Qu’est-ce que la rurbanisation ? Par ce néologisme G. Bauer et J.-M. Roux désignent l’extension disséminée de nos villes dans les espaces ruraux qui les entourent. Processus général dans les pays industrialisés, mais systématiquement ignoré par l’Administration et les planificateurs français, la rurbanisation est ici pour la première fois nommée et décrite à travers ses agents (usagers et promoteurs), ses manifestations spatiales (pavillons, nouveaux villages), ses motivations (économiques, hygiénistes, rousseauistes), les idéologies qui la dissimulent. Processus symptomatique,  la rurbanisation n’est pas seulement un corrélat de la croissance urbaine, mais, sur l’horizon démographique actuel, le signe de nouvelles possibilités offertes à l’aménagement du territoire. Ce livre n’est pas un constat. L’analyse de la rurbanisation débouche sur un ensemble de propositions concrètes, qui permettraient de préserver nos patrimoines paysagers et villageois, et de promouvoir, hors des agglomérations de type traditionnel, une nouvelle qualité de vie. ____","['027797120#Agglomérations_urbaines', '031194095#Périurbanisation', '027257479#Aménagement_du_territoire', '027344991#Migrations_intérieures', '027726371#Relations_villes-campagnes']"
13,"Le château des destins croisés, L&apos;auteur construit des récits à partir d&apos;images d&apos;un jeu de tarots ____",['135853672#Tarots_(cartes_à_jouer)']
14,"Speculum : de l'autre femme, La sexualité féminine est restée le “ continent noir ” de la psychanalyse. Celle-ci, en effet, ne pouvait que méconnaître cette autre, femme, qui déborde le cadrage de son champ théorique, la science du sujet qu’elle définit n’ayant pas interrogé sa soumission à des impératifs logiques masculins. Il fallait donc retraverser les textes où cette logique de l’un, du même, se systématise comme telle. Relire, et réinterpréter, Platon, pour repérer comment s’y déterminent les métaphores qui véhiculeront désormais le sens. Suivre le développement de cette histoire, de la théorie, et re-marquer où et comment l’autre – femme – se trouve exclue de la production du discours, en assurant de sa plasticité silencieuse le sol, la relance, et la limite. ____","['027225844#Psychanalyse_et_femmes', '029708028#Allégorie_de_la_caverne', '027248739#Sexualité_(psychologie)', '027364313#Sexualité_féminine', '050576755#Différences_entre_sexes_(psychologie)', '027458768#Féminité']"
15,"La vie quotidienne à l'Elysée au temps de Charles de Gaulle, Le 8 janvier 1959, Charles de Gaulle, après être revenu au pouvoir dans les dramatiques circonstances qu’on connait, s’installait à l’Elysée où il devait rester plus de dix ans. Personne n’avait encore étudié en historien cette période historique. Claude Dulong s’est livrée à une enquête rigoureuse et minutieuse, comme seuls les chartistes savent en faire, pour reconstituer la vie quotidienne à l’Elysée au temps du fondateur et premier président de la Ve république. Une fois le décor planté, elle n’a rien omis de ce qui s’y déroulait, de haut en bas de la maison, accordant, bien sûr, la place de choix aux diverses activités du général de Gaulle, qu’elle nous montre dans le silence de son cabinet comme dans le faste de ses réceptions, dans l’intimité de sa famille comme dans les rapports avec l’Etat, le peuple et les individus. Mais Claude Dulong est aussi un témoin et un écrivain. Elle sait ce dont elle parle et elle sait en parler. D’où l’intérêt et l’attrait particuliers de ce livre. Nourri de faits vrais, d’anecdotes vécues, de propos inédits du Général, il prend une allure de chronique où l’humour s’allie constamment au sérieux et à l’émotion. ____",['027227766#Gaullisme']
16,"Introduction à la sociolinguistique : la linguistique sociale, &quot;Cet ouvrage donne à la fois les éléments d&apos;une matière dont aucune synthèse n&apos;a encore été publiée dans notre pays et les concepts ouvrant la voie à une orientation originale. Il utilise un vocabulaire courant et sans obscurité mais qui ne néglige aucunement pour cela la rigueur scientifique. Les auteurs abordent les principaux problèmes de la sociolinguistique : la langue est-elle une superstructure et un phénomène de classe ? Quels sont les rapports entre les antagonismes sociaux et la variation linguistique ? Comment les maîtres de la linguistique ont-ils abordé ces questions ? Quelles sont les incidences politiques et idéologiques des problèmes linguistiques ? Comment et au moyen de quels concepts peut-on avancer dans la linguistique socio-différentielle, ou linguistique sociale, dont J.-B. Marcellesi et B. Gardin posent les bases ? Pour cela, sans esprit de chapelle et sans parti pris, les auteurs font appel à P. Lafargue, aux disciplines de N. Marr, à Jirmunski, Mechtchaninov, Reznikov ; à Volochinov et à Staline ; à Labov, Wolfram ; à Bernstein ; à la dialestologie et à la lexicologie politique... Des synthèses claires intègrent à la discussion générale les apports de ces différents auteurs ou courants. Ce livre constitue donc l&apos;introduction indispensable à la sociolinguistique.&quot; ____",['027248941#Sociolinguistique']
17,"L'attachement, En un colloque épistolaire des éthologistes, un pédo-psychiatre, un psychologue de l&apos;enfance, des psychanalystes de diverses tendances prennent position ; les faits observés chez le jeune animal et chez l&apos;enfant établissent que l&apos;attachement n&apos;est pas le résultat d&apos;un processus libidinal ou d&apos;un apprentissage, mais qu&apos;il correspond à une tendance primaire ____","['16719402X#Chez_l#c#enfant', '027246442#Personnalité', '029264014#Mères_et_nourrissons', '029814650#Attachement']"
18,"Philosophie et philosophie spontanée des savants, 1967, La quatrième de couverture indique : &quot;Cette &quot;Introduction au cours de philosophie pour scientifiques&quot; a été prononcée en octobre-novembre 1967 à l&apos;Ecole normale supérieure. Nous avions alors à plusieurs amis, intéressés par les problèmes de l&apos;histoire des sciences, et des conflits philosophiques auxquels elle donne lieu, frappés par la lutte idéologique et les formes qu&apos;elle peut prendre chez les intellectuels de la pratique scientifique, décidé de nous adresser à nos collègues en un cours public. Cette expérience, inaugurée par l&apos;exposé que voici, devait durer jusqu&apos;à la veille des grands événements de 1968. C&apos;est pour répondre à de nombreuses demandes que je publie aujourd&apos;hui, avec un grand retard, mon Introduction de 67, sur &apos;la philosophie et la philosophie spontanée des savants&quot;. A l&apos;exception de la moitié du premier cours et de la critique de Jacques Monod, que j&apos;ai reproduits sans rien y changer, j&apos;ai repris le reste de ce cours : pour rendre plus lisible ce qui n&apos;était qu&apos;une improvisation hâtive, et aussi pour développer certaines formules qui étaient restées à l&apos;état d&apos;esquisse, souvent énigmatique. Mais j&apos;ai tenu à respecter pour l&apos;essentiel les limites théoriques de cet essai, qu&apos;on voudra bien lire comme un essai daté. Je le publie aussi comme un témoignage rétrospectif. On y trouvera en effet les premières formules qui ont &quot;inauguré&quot; un tournant dans nos recherches sur la philosophie en général et la philosophie marxiste en général. Auparavant en effet (dans &quot;Pour Marx&quot; et &quot;Lire le Capital&quot;), je définissais la philosophie comme &quot;théorie de la pratique théorique&quot;. Or, dans ce cours apparaissent de nouvelles formules : la philosophie, qui n&apos;a pas d&apos;objet (comme une science a un objet), a des enjeux, la philosophie ne produit pas des connaissances, mais énonce des Thèses, etc. Les Thèses ouvrent la voie à la position juste des problèmes de la pratique scientifique et de la pratique politique, etc. Formules encore shématiques, qui exigent un long travail pour les préciser et les compléter. Mais du moins indiquent-elles un ordre de recherche, dont on trouvera la trace dans des ouvrages ultérieurs. Le 14 mai 1974.&quot; ____","['02736576X#Philosophie_et_sciences', '027246736#Philosophes']"
19,"L'hôpital en observation, Domaine de la maladie et de la mort, c’est-à-dire à la fois de la technique et du surnaturel l’hôpital a longtemps échappé à l’analyse économique et sociologique. Osait-on parler de l’hôpital public comme d’une industrie ou d’un commerce ? En termes d’investissements, de financement, de rentabilité ? Et pourtant la croissance considérable des coûts hospitaliers a attiré l’attention sur l’urgence d’une politique globale de la santé Mais, du directeur d’hôpital, du professeur de C.H.U., du corps médical, qui décide ? L’hôpital est une entreprise. Qui est au pouvoir ? Cet ouvrage d’un spécialiste de la sociologie médicale est préfacé par Alain Touraine. ____","['027340740#Hôpitaux', '049647490#Sociologie']"
20,"La Troisième Voie : la théorie marxiste-léniniste et la société industrielle moderne, &quot;Ota Šik, né à Pilsen en 1919, économiste de notoriété mondiale, ministre du gouvernement Dubček, principal théoricien des expériences de libéralisation du Printemps de Prague, refuse à la fois le socialisme bureaucratique d&apos;État et le capitalisme dont il fait une critique approfondie. Il vise à définir une Troisième Voie qui combine les fonctions vitales du marché, avec une planification souple. Ce socialisme démocratique à «visage humain» doit permettre la participation institutionnellement garantie des producteurs et des non-producteurs à la gestion et au contrôle, réintégrer la société politique dans la société civile, abolir enfin l&apos;oppression des citoyens par la machine étatique et administrative. Seul un tel socialisme, affirme O. Šik, s&apos;appuie sur les intérêts du «travailleur collectif» et répond de ce fait aux besoins de la collectivité dans les sociétés industrielles modernes.&quot; ____","['05054750X#Socialisme', '05054764X#Marxisme-léninisme']"
21,"Histoire et civilisation des États-Unis : textes et documents commentés du XVIIe siècle à nos jours, Du Mayflower à Watergate, ces 58 textes jalonnent l&apos;histoire des Etats-Unis et donnent la parole à ses acteurs, individuels ou collectifs. L&apos;angliciste, l&apos;historien, le juriste, le spécialiste de Sciences Politiques y trouveront un réseau serré de références, de notes et de citations, qui leur permettra détudier directement les thèmes fondamentaux de l&apos;évolution politique, institutionnelle et économique. Ouvrage d&apos;initiation certes, mais complément nécessaire pour qui souhaite comprendre de la réalité américaine autre chose que ses modes ou ses slogans.--4e de couv. ____",['02726470X#Histoire']
22,"Quatre romans analytiques, Quatre lectures de Freud : des poèmes d’Empédocle, de la Judith de Hebbel, de la Gradiva de Jensen, de L’Homme au sable d’Hoffmann. Non des interprétations, mais des constructions, des “romans” analytiques qui réécrivent les textes lus, déplacent leurs éléments dans de nouveaux jeux. Si Freud réduit “fantaisies cosmiques” et fictions littéraires à la réalité, s’il leur donne le statut de témoins de la vérité, il fait, inversement, de la science une production fantasmatique, une mythologie. Roman analytique : roman de la raison qui a comme fin de supprimer le romanesque, sa fonction de leurre et de narcotique. Fiction théorique qui par une opération de sélection, par une torture des textes, vise à les dépouiller de leurs charmes séducteurs, à rompre leur délire en suscitant la “bonne” entente, en contraignant le lecteur à renoncer à la jouissance de ses fantasmes. Roman à finalité cathartique où se joue le roman familial de Freud, son fantasme de réappropriation et de maîtrise de ses prédécesseurs : au plaisir du fantastique, Freud substitue la jouissance de l’harmonie établie après coup entre littérature et psychanalyse. ____","['027241556#Psychanalyse_et_littérature', '027599671#Interprétation_psychanalytique']"
23,"Pensée et vérité de Carl Rogers, Introduction et mise au point sur l&apos;oeuvre de Carl Rogers, psychothérapeute américain qui a travaillé sur la relation humaine. ____",['027612104#Psychothérapie_non_directive']
24,"L'ère des techniques, constructions ou destructions , Depuis Léonard de Vinci, depuis Pascal, depuis le siècle des Lumières et des Encyclopédistes, des techniques sans cesse nouvelles et sans cesse plus puissantes dominent les éléments, tirent de nouvelles ressources de la planète. Mais à l’époque de Léonard de Vinci ou de Pascal, il y avait moins d’un demi-milliard d’homme sur la planète. Il y en a aujourd’hui dix fois plus et il paraît injuste que les trois quarts de l’humanité n’aient pas les mêmes droits à la consommation et au bien-être que l’autre quart. A cette échelle, ce qui était conquête et maîtrise devient destruction. Est-il encore temps de sauver les ressources renouvelables de la planète et d’assurer l’avenir de l’humanité ? ____","['027232700#Écologie', '027254925#Urbanisme', '02753460X#Géographie_humaine', '02739414X#Technique_et_civilisation']"
25,"Aurore, la petite fille du bâtiment Z, Aurore et sa famille viennent d&apos;emménager dans un grand immeuble moderne. Leur façon de vivre surprend les voisins. Pourtant qu&apos;y a-t-il d&apos;extraordinaire à ce que papa, encore étudiant, s&apos;occupe du bébé Socrate, pendant que Maman va travailler ? ____","['027823423#Intégration_sociale', '027762300#Discrimination_sexuelle']"
26,"Le soi : la psychanalyse des transferts narcissiques, Ce livre se propose d&apos;atteindre les deux buts suivants ; décrire en profondeur un groupe de phénomènes spécifiques normaux et anormaux dans le domaine général du narcissisme et étudier la phase spécifique de développement qui est en corrélation avec ces phénomènes sur le plan génétique. Si vaste que soit le sujet de ce travail, il ne forme pourtant qu&apos;une partie d&apos;une étude plus étendue du narcissisme. Plus précisément, il est presque exclusivement centré sur le rôle joué par les forces libidinales dans l&apos;analyse de personnalités narcissiques ; le rôle de l&apos;agression sera traité séparément. En outre, ce livre n&apos;est que la continuation et l&apos;élaboration d&apos;une série d&apos;essais publiés en 1959, 1963 (en collaboration avec Seitz), 1966, 1968. Les données cliniques et les conclusions auxquelles elles ont donné lieu, de même que les conceptualisations qui s&apos;y trouvent, ont été ici largement utilisées. Le présent travail cherchera à enrichir et à compléter la recherche sur les aspects libidinaux du narcissisme déjà ébauchée dans ces premiers essais. ____","['027488195#Troubles_de_la_personnalité', '02727635X#Narcissisme', '027239667#Moi', '027254348#Transfert_(psychologie)', '029033438#Relation_d#c#objet_(psychanalyse)', '027984117#Acceptation_de_soi']"
27,"La philosophie de la Renaissance : Bruno, Campanella, Paracelse, Boehme, Bacon, Galilée, Kepler, Newton, Machiavel, Bodin, Grotius, Hobbes, Vico, La quatrième de couverture indique : &quot;La philosophie de la Renaissance est un ouvrage récent de Bloch. Dans la Renaissance, il ne voit pas seulement la &quot;renaissance de l&apos;Antiquité&quot;, mais la naissance d&apos;un homme nouveau et d&apos;une société nouvelle : la société bourgeoise. Il illustre ce tournant par l&apos;histoire de la philosophie de la Renaissance à travers l&apos;oeuvre de Bruno, Campanella, Paracelse, Boehme, Bacon, les débuts des sciences naturelles mathématiques avec Galilée, Kepler et Newton, la philosophie du droit et de l&apos;Etat avec Machiavel, Bodin, Grotius, Hobbes, jusqu&apos;à Vico. Il brosse ainsi un tableau d&apos;ensemble des idées de la Renaissance qui nous permet de voir dans cette époque davantage qu&apos;une révolution essentiellement artistique. Cette histoire de la genèse du monde moderne nous ouvre en même temps l&apos;accès à la pensée et au style d&apos;Ernst Bloch.&quot; ____",['027320030#Philosophie_de_la_Renaissance']
28,"La théorie des jeux et ses applications à l'économie mathématique, La théorie des jeux occupe au sein des mathématiques de la décision une place prépondérante. Point de domaine de la recherche opérationnelle, du contrôle optimal ou de l&apos;économie mathématique où elle ne fasse sentir son influence. C&apos;est qu&apos;en dépit de ses imperfections, elle reste le seul moyen rigoureux et formalisé d&apos;appréhender les situations de conflit. Cet ouvrage donne une vue synthétique et concise de la théorie et s&apos;oriente très rapidement vers ses applications à l&apos;économie mathématique. C&apos;est le fruit d&apos;un enseignement pluridisciplinaire de plusieurs années à l&apos;Université de Paris IX-Dauphine. On y trouvera aussi bien des exemples élémentaires destinés à faire comprendre la signification économique des concepts mis en oeuvre, que des théorèmes difficiles, destinés à montrer leur fécondité mathématique ____","['02735525X#Théorie_des_jeux', '02733743X#Mathématiques_économiques']"
29,"Une politique pour La Réunion, Michel Debré a été élu député de la Réunion en avril 1963, en 1967, en 1968 et en 1973. Ce dernier a pris une part considérable dans une étape essentielle de l&apos;évolution réunionnaise qui est celle de la réalisation effective de la départementalisation entraînant un développement et un progrès considérable dans tous les domaines. Cet ouvrage a pour objectif de déterminer les grandes orientations économiques et sociales de l&apos;île. ____","['027274292#Politique_sociale', '027479358#Politique_économique']"
30,"La paille et le grain : chronique, Cette chronique personnelle, où l&apos;auteur exprime en toute liberté ce qui lui vient à l&apos;esprit, s&apos;étend de 1971 à l&apos;été 1974. Certains textes ont paru dans le &quot; bloc-notes &quot; de l&apos;Unité, hebdomadaire du Parti Socialiste ; d&apos;autres sont inédits. François Mitterrand griffonne assez souvent des notes, par souci de fixer dans leur contexte une impression, un fait. Ici il parle du Programme commun, des firmes multinationales, de l&apos;inégalité fiscale, de la guerre du Proche-Orient. Ailleurs, il dresse un portrait : Sicco Mansholt, Valéry Giscard d&apos;Estaing, Pablo Neruda, Georges Pompidou. Ailleurs encore, il dit son émotion devant un camélia de janvier, les tours de Paris, une plage l&apos;hiver, les terrasses de Florence, un vol de grues à Latché ou son chien Titus. Aux yeux de François Mitterrand, il n&apos;existe pas de matière vile ou noble : chacune a son usage, et la &quot; paille &quot; vaut le &quot; grain &quot;. Pour peu que le lecteur accepte, comme le chroniqueur l&apos;y invite, de traverser les apparences, il rencontrera partout des sujets de réflexion. ____",['05054750X#Socialisme']
31,"La formation des maîtres, Quatre problématiques : Analyse du contexte social et culturel ; détermination des fonctions de l&apos;école ; apport des Sciences de l&apos;éducation à la formation ; critique historique et institutionnelle des écoles normales. ____","['027791017#Formation', '027274721#Professeurs_des_écoles', '027451909#Écoles_normales']"
32,"Langage et classes sociales : codes socio-linguistiques et contrôle social, Le nom de Basil Bernstein est si fortement associé à la notion du handicap linguistique des enfants des classes populaires que la plupart des discussions développées autour de son œuvre méconnaissent la richesse de ses développements théoriques, la cohérence et la complexité de ses analyses. Le livre présenté ici réunit une série de textes qui jalonnent un itinéraire théorique : études empiriques qui sont des exemples d’opérationalisation sans sacrifices théoriques, élaborations théoriques visant à approfondir et à généraliser la thèse en soumettant les premiers concepts à des rectifications progressives. Les re-formulations successives de la théorie, les développements de la recherche empirique tendent à poser toujours plus précisément le problème essentiel, celui de l’intériorisation de l’ordre social par l’intermédiaire des formes de langage définies comme “ codes socio-linguistiques ”. Les analyses de Bernstein, reprenant et soumettant à l’épreuve empirique les analyses de Cassirer, Sapir et Whorf sur la fonction constituante du langage, les thèses de Durkheim sur la relation entre structure sociale et structures logiques, font éclater les limites conventionnelles de la psychologie, de la sociologie, de la linguistique, pour relier le social au logique et au psychologique. ____","['027430170#Langage_et_statut_social', '027341534#Psycholinguistique', '050585843#Langage_et_culture', '027445011#Communication_interpersonnelle', '027248941#Sociolinguistique']"
33,"Naissance d'une cathédrale, Prodigieux rêves de pierre, fantastiques vaisseaux mystiques à l&apos;ancre, édifiés jour après jour pendant des siècles, avec une ferveur, une ténacité et un courage inimaginables aujourd&apos;hui, génération après génération, par les hommes du Moyen Âge : telles nous apparaissent dans leur extraordinaire clarté les cathédrales gothiques. Depuis 800 ans, elles ont fasciné des millions d&apos;hommes comme elles fascinent David Macaulay qui a réalisé cet ouvrage, après plusieurs voyages en France, au terme de ses études d&apos;architecture à Rhode Island. Le dessin de ce livre unique en son genre retrace, avec rigueur et précision, les étapes successives de la construction d&apos;une cathédrale. Le texte, très vivant et remarquablement documenté, nous fait revivre avec l&apos;auteur l&apos;état d&apos;esprit et l&apos;enthousiasme qui furent ceux des bâtisseurs du XIIIe siècle. ____","['027794725#Conception_et_construction', '027220184#Art_gothique', '027285480#Cathédrales']"
34,"Le siècle des Scipions : Rome et l'hellénisme au temps des guerres puniques, Analyse du phénomène historique que constitua, il y a quelque deux mille ans, la fusion de la culture hellénique et de la civilisation romaine et de son impact sur la littérature et la philosophie ____","['027791750#Influence_grecque', '02731717X#Guerres_puniques']"
